"","participant","session","fixation_type","BIN_INDEX","sumFix","nTrials","meanFix"
"338","308602","2","semantic","66",0,56,0
"339","308602","2","semantic","67",0,56,0
"340","308602","2","semantic","68",0,56,0
"341","308602","2","semantic","69",0,56,0
"342","308602","2","semantic","7",4,56,0.0714285714285714
"343","308602","2","target","0",9,56,0.160714285714286
"344","308602","2","target","2",3,56,0.0535714285714286
"345","308602","2","target","20",0,56,0
"346","308602","2","target","21",0,56,0
"347","308602","2","target","22",0,56,0
"348","308602","2","target","23",0,56,0
"349","308602","2","target","24",0,56,0
"350","308602","2","target","25",0,56,0
"351","308602","2","target","26",0,56,0
"352","308602","2","target","27",0,56,0
"353","308602","2","target","28",0,56,0
"354","308602","2","target","29",0,56,0
"355","308602","2","target","3",3,56,0.0535714285714286
"356","308602","2","target","30",0,56,0
"357","308602","2","target","31",0,56,0
"358","308602","2","target","32",0,56,0
"359","308602","2","target","33",0,56,0
"360","308602","2","target","34",0,56,0
"361","308602","2","target","35",0,56,0
"362","308602","2","target","36",1,56,0.0178571428571429
"363","308602","2","target","37",1,56,0.0178571428571429
"364","308602","2","target","38",3,56,0.0535714285714286
"365","308602","2","target","39",2,56,0.0357142857142857
"366","308602","2","target","4",3,56,0.0535714285714286
"367","308602","2","target","40",5,56,0.0892857142857143
"368","308602","2","target","41",7,56,0.125
"369","308602","2","target","42",7,56,0.125
"370","308602","2","target","43",9,56,0.160714285714286
"371","308602","2","target","44",10,56,0.178571428571429
"372","308602","2","target","45",14,56,0.25
"373","308602","2","target","46",13,56,0.232142857142857
"374","308602","2","target","47",11,56,0.196428571428571
"375","308602","2","target","48",10,56,0.178571428571429
"376","308602","2","target","49",10,56,0.178571428571429
"377","308602","2","target","5",2,56,0.0357142857142857
"378","308602","2","target","50",9,56,0.160714285714286
"379","308602","2","target","51",6,56,0.107142857142857
"380","308602","2","target","52",9,56,0.160714285714286
"381","308602","2","target","53",4,56,0.0714285714285714
"382","308602","2","target","54",5,56,0.0892857142857143
"383","308602","2","target","55",3,56,0.0535714285714286
"384","308602","2","target","56",4,56,0.0714285714285714
"385","308602","2","target","57",5,56,0.0892857142857143
"386","308602","2","target","58",4,56,0.0714285714285714
"387","308602","2","target","59",3,56,0.0535714285714286
"388","308602","2","target","6",0,56,0
"389","308602","2","target","60",3,56,0.0535714285714286
"390","308602","2","target","61",2,56,0.0357142857142857
"391","308602","2","target","62",2,56,0.0357142857142857
"392","308602","2","target","63",1,56,0.0178571428571429
"393","308602","2","target","64",2,56,0.0357142857142857
"394","308602","2","target","65",2,56,0.0357142857142857
"395","308602","2","target","66",0,56,0
"396","308602","2","target","67",1,56,0.0178571428571429
"397","308602","2","target","68",1,56,0.0178571428571429
"398","308602","2","target","69",1,56,0.0178571428571429
"399","308602","2","target","7",0,56,0
"400","308602","2","unrelated","0",8,56,0.142857142857143
"401","308602","2","unrelated","2",9,56,0.160714285714286
"402","308602","2","unrelated","20",1,56,0.0178571428571429
"403","308602","2","unrelated","21",0,56,0
"404","308602","2","unrelated","22",1,56,0.0178571428571429
"405","308602","2","unrelated","23",1,56,0.0178571428571429
"406","308602","2","unrelated","24",0,56,0
"407","308602","2","unrelated","25",1,56,0.0178571428571429
"408","308602","2","unrelated","26",0,56,0
"409","308602","2","unrelated","27",1,56,0.0178571428571429
"410","308602","2","unrelated","28",1,56,0.0178571428571429
"411","308602","2","unrelated","29",1,56,0.0178571428571429
"412","308602","2","unrelated","3",9,56,0.160714285714286
"413","308602","2","unrelated","30",0,56,0
"414","308602","2","unrelated","31",1,56,0.0178571428571429
"415","308602","2","unrelated","32",2,56,0.0357142857142857
"416","308602","2","unrelated","33",2,56,0.0357142857142857
"417","308602","2","unrelated","34",2,56,0.0357142857142857
"418","308602","2","unrelated","35",2,56,0.0357142857142857
"419","308602","2","unrelated","36",0,56,0
"420","308602","2","unrelated","37",0,56,0
"421","308602","2","unrelated","38",1,56,0.0178571428571429
"422","308602","2","unrelated","39",1,56,0.0178571428571429
"423","308602","2","unrelated","4",10,56,0.178571428571429
"424","308602","2","unrelated","40",1,56,0.0178571428571429
"425","308602","2","unrelated","41",1,56,0.0178571428571429
"426","308602","2","unrelated","42",1,56,0.0178571428571429
"427","308602","2","unrelated","43",0,56,0
"428","308602","2","unrelated","44",0,56,0
"429","308602","2","unrelated","45",0,56,0
"430","308602","2","unrelated","46",0,56,0
"431","308602","2","unrelated","47",0,56,0
"432","308602","2","unrelated","48",0,56,0
"433","308602","2","unrelated","49",0,56,0
"434","308602","2","unrelated","5",11,56,0.196428571428571
"435","308602","2","unrelated","50",0,56,0
"436","308602","2","unrelated","51",0,56,0
"437","308602","2","unrelated","52",0,56,0
