"","...1","participant","session","fixation_type","BIN_INDEX","sumFix","nTrials","meanFix","BIN_INDEX.Index","poly1","poly2","poly3","poly4"
"1250",1250,308613,1,"semantic",66,0,55,0,54,0.184616846351448,0.187964579453417,0.15184847656722,0.0614634759769448
"1251",1251,308613,1,"semantic",67,0,55,0,55,0.191585826644185,0.209247065892023,0.199085225332555,0.132705807580777
"1252",1252,308613,1,"semantic",68,0,55,0,56,0.198554806936922,0.23121946806582,0.250407645124281,0.21684541726822
"1253",1253,308613,1,"semantic",69,0,55,0,57,0.205523787229659,0.25388178597481,0.305942443435981,0.314915802499746
"1254",1254,308613,1,"semantic",7,0,55,0,7,-0.226552990920022,0.153448730865686,0.0363153220655198,-0.238290102360574
"1255",1255,308613,1,"target",0,0,55,0,1,-0.27533585296918,0.308724165015157,-0.282431051009487,0.395343051364708
"1256",1256,308613,1,"target",2,0,55,0,2,-0.261397892383706,0.260910176582205,-0.171242615887677,0.139745859236871
"1257",1257,308613,1,"target",20,21,55,0.381818181818182,8,-0.135956247114444,-0.0452308869797893,0.204035603875583,-0.209585110880311
"1258",1258,308613,1,"target",21,25,55,0.454545454545455,9,-0.128987266821707,-0.0556845243600198,0.200302285990359,-0.180897684504513
"1259",1259,308613,1,"target",22,26,55,0.472727272727273,10,-0.12201828652897,-0.0654482460050581,0.194826094426699,-0.151448183967282
"1260",1260,308613,1,"target",23,28,55,0.509090909090909,11,-0.115049306236234,-0.0745220519149044,0.187733736678187,-0.121709736457489
"1261",1261,308613,1,"target",24,28,55,0.509090909090909,12,-0.108080325943497,-0.0829059420895585,0.179151920238406,-0.0921227164542352
"1262",1262,308613,1,"target",25,26,55,0.472727272727273,13,-0.10111134565076,-0.0905999165290206,0.169207352600939,-0.0630947457268562
"1263",1263,308613,1,"target",26,27,55,0.490909090909091,14,-0.0941423653580233,-0.0976039752332906,0.158026741259369,-0.0350006933349173
"1264",1264,308613,1,"target",27,32,55,0.581818181818182,15,-0.0871733850652865,-0.103918118202369,0.14573679370728,-0.00818267562821627
"1265",1265,308613,1,"target",28,32,55,0.581818181818182,16,-0.0802044047725497,-0.109542345436254,0.132464217438254,0.0170499437532176
"1266",1266,308613,1,"target",29,34,55,0.618181818181818,17,-0.0732354244798129,-0.114476656934948,0.118335719945875,0.0404205538791238
"1267",1267,308613,1,"target",3,0,55,0,3,-0.254428912090969,0.238038055968517,-0.12193722615834,0.0364731122740197
"1268",1268,308613,1,"target",30,31,55,0.563636363636364,18,-0.0662664441870762,-0.11872105269845,0.103478008723725,0.0616852965290094
"1269",1269,308613,1,"target",31,32,55,0.581818181818182,19,-0.0592974638943394,-0.122275532726759,0.0880177912653895,0.0806330661921507
"1270",1270,308613,1,"target",32,29,55,0.527272727272727,20,-0.0523284836016026,-0.125140097019877,0.0720817750644498,0.0970855100675917
"1271",1271,308613,1,"target",33,29,55,0.527272727272727,21,-0.0453595033088658,-0.127314745577802,0.0557966676144896,0.110897028064144
"1272",1272,308613,1,"target",34,27,55,0.490909090909091,22,-0.038390523016129,-0.128799478400536,0.0392891764090921,0.121954772800391
"1273",1273,308613,1,"target",35,25,55,0.454545454545455,23,-0.0314215427233922,-0.129594295488077,0.0226860089418404,0.130178649604679
"1274",1274,308613,1,"target",36,26,55,0.472727272727273,24,-0.0244525624306554,-0.129699196840426,0.00611387270631778,0.135521316515128
"1275",1275,308613,1,"target",37,28,55,0.509090909090909,25,-0.0174835821379186,-0.129114182457583,-0.0103005248038926,0.137968184279622
"1276",1276,308613,1,"target",38,24,55,0.436363636363636,26,-0.0105146018451818,-0.127839252339548,-0.0264304760952076,0.137537416355817
"1277",1277,308613,1,"target",39,22,55,0.4,27,-0.00354562155244505,-0.125874406486321,-0.042149273674044,0.134279928911134
"1278",1278,308613,1,"target",4,0,55,0,4,-0.247459931798233,0.215855851090021,-0.0766554449919331,-0.0519205577573336
"1279",1279,308613,1,"target",40,21,55,0.381818181818182,28,0.00342335874029174,-0.123219644897902,-0.0573302100468187,0.128279390822765
"1280",1280,308613,1,"target",41,21,55,0.381818181818182,29,0.0103923390330285,-0.119874967574291,-0.0718465777199485,0.119652223677668
"1281",1281,308613,1,"target",42,16,55,0.290909090909091,30,0.0173613193257653,-0.115840374515487,-0.08557166919985,0.108547601772573
"1282",1282,308613,1,"target",43,16,55,0.290909090909091,31,0.0243302996185021,-0.111115865721492,-0.0983787769929403,0.0951474521139743
"1283",1283,308613,1,"target",44,12,55,0.218181818181818,32,0.0312992799112389,-0.105701441192305,-0.110141193605636,0.0796664544181369
"1284",1284,308613,1,"target",45,12,55,0.218181818181818,33,0.0382682602039757,-0.099597100927925,-0.120732211544354,0.0623520411110932
"1285",1285,308613,1,"target",46,11,55,0.2,34,0.0452372404967125,-0.0928028449283534,-0.130025123315512,0.0434843973286446
"1286",1286,308613,1,"target",47,11,55,0.2,35,0.0522062207894493,-0.0853186731935896,-0.137893221425525,0.02337646091636
"1287",1287,308613,1,"target",48,13,55,0.236363636363636,36,0.0591752010821861,-0.0771445857236338,-0.144209798380811,0.00237392242957767
"1288",1288,308613,1,"target",49,11,55,0.2,37,0.0661441813749229,-0.0682805825184859,-0.148848146687787,-0.0191447748665969
"1289",1289,308613,1,"target",5,0,55,0,5,-0.240490951505496,0.194363561946717,-0.0352705648948769,-0.126497826821889
"1290",1290,308613,1,"target",50,11,55,0.2,38,0.0731131616676596,-0.0587266635781459,-0.151681558852869,-0.0407684349972886
"1291",1291,308613,1,"target",51,10,55,0.181818181818182,39,0.0800821419603964,-0.0484828289026138,-0.152583327382474,-0.0620531092778549
"1292",1292,308613,1,"target",52,9,55,0.163636363636364,40,0.0870511222531332,-0.0375490784918897,-0.151426744783019,-0.0825220963138848
"1293",1293,308613,1,"target",53,8,55,0.145454545454545,41,0.09402010254587,-0.0259254123459734,-0.148085103560922,-0.101665942001199
"1294",1294,308613,1,"target",54,7,55,0.127272727272727,42,0.100989082838607,-0.0136118304648651,-0.142431696222598,-0.118942439525848
"1295",1295,308613,1,"target",55,6,55,0.109090909090909,43,0.107958063131344,-0.000608332848564711,-0.134339815274464,-0.133776629364118
"1296",1296,308613,1,"target",56,5,55,0.0909090909090909,44,0.11492704342408,0.0130850805029278,-0.123682753222938,-0.145560799282523
"1297",1297,308613,1,"target",57,5,55,0.0909090909090909,45,0.121896023716817,0.0274684095896123,-0.110333802574436,-0.153654484337811
"1298",1298,308613,1,"target",58,4,55,0.0727272727272727,46,0.128865004009554,0.042541654411489,-0.0941662558353751,-0.15738446687696
"1299",1299,308613,1,"target",59,2,55,0.0363636363636364,47,0.135833984302291,0.0583048149685577,-0.0750534055121718,-0.156044776537181
"1300",1300,308613,1,"target",6,0,55,0,6,-0.233521971212759,0.173561188538605,0.00234412162641305,-0.188288618174581
"1301",1301,308613,1,"target",60,3,55,0.0545454545454545,48,0.142802964595028,0.0747578912608186,-0.0528685441112433,-0.148896690245915
"1302",1302,308613,1,"target",61,3,55,0.0545454545454545,49,0.149771944887764,0.0919008832882715,-0.027484964139006,-0.135168732220837
"1303",1303,308613,1,"target",62,2,55,0.0363636363636364,50,0.156740925180501,0.109733791050916,0.00122404189812295,-0.114056673969852
"1304",1304,308613,1,"target",63,2,55,0.0363636363636364,51,0.163709905473238,0.128256614548754,0.0333851814937267,-0.0847235342910967
